epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,15987.6,0.87174,2.84876,0.25881,0.44398,0.01525,2.02193,0.96338,0.96902,0.989,0.85322,0.85956,0.82923,0.82293,0.67458,0.63477,1.75664,0.07592,0.25854,0.01395,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,16512.9,0.86185,2.75461,0.25653,0.42897,0.01503,1.92478,0.95967,0.97341,0.98892,0.85256,0.86973,0.83675,0.83501,0.68235,0.62901,1.69868,0.07623,0.25366,0.01388,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,17046.2,0.84667,2.69169,0.2547,0.42075,0.0147,1.80027,0.97085,0.96333,0.98909,0.85351,0.87725,0.83752,0.8389,0.69014,0.63363,1.68151,0.07195,0.25447,0.01405,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,17578.6,0.84663,2.65781,0.25499,0.4181,0.01466,1.70904,0.9737,0.96827,0.99012,0.86232,0.87597,0.85411,0.85132,0.69826,0.60563,1.61681,0.0696,0.241,0.01325,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,18112.5,0.83923,2.65543,0.2513,0.40866,0.01451,1.69553,0.96871,0.9712,0.98965,0.86478,0.89196,0.85014,0.85761,0.70334,0.60253,1.57622,0.0733,0.24154,0.01319,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,18634.2,0.83139,2.63579,0.24915,0.41129,0.01436,1.64173,0.97243,0.97072,0.99005,0.8629,0.87683,0.84915,0.8494,0.70441,0.60845,1.59751,0.07107,0.23714,0.01337,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,19150.2,0.82396,2.55294,0.24494,0.40299,0.01431,1.53882,0.96809,0.97039,0.98953,0.86592,0.88508,0.85408,0.85666,0.70748,0.59779,1.57752,0.06996,0.24196,0.01311,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,19646,0.81742,2.56807,0.24603,0.41083,0.01409,1.50821,0.96598,0.97349,0.98978,0.86848,0.88882,0.84797,0.85321,0.71136,0.58862,1.55623,0.06778,0.23976,0.01288,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,20141.9,0.80815,2.48244,0.24338,0.40103,0.01393,1.37559,0.96799,0.97591,0.98992,0.87077,0.88393,0.84784,0.84963,0.71029,0.58221,1.5703,0.06624,0.23382,0.01273,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,20635.9,0.80551,2.44819,0.23961,0.39639,0.01382,1.32846,0.97377,0.96988,0.99008,0.87036,0.88917,0.85984,0.86215,0.71775,0.58473,1.51806,0.06982,0.23261,0.0128,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,21149.1,0.8012,2.4466,0.23948,0.39389,0.01373,1.29337,0.9711,0.97621,0.99054,0.87202,0.89588,0.8681,0.86598,0.72498,0.57846,1.47528,0.06749,0.22503,0.01263,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
